er,sx,sy,sz,u (sy/sx),v (sz/sx),d,Pxx,Pyy,Pzz,Nx,Ny,Nz,N_sum
17.5,1.0,1.0,0.2,1.0,0.2,0.02,1.119619728342235,1.1196197281346165,0.28446985752529647,0.1786320792115105,0.17863207924463545,0.7030621864118416,1.0603263448679876
20,1.0,1.0,0.2,1.0,0.2,0.02,1.1814754643141254,1.1814746393417082,0.2883170901760375,0.16927985899064332,0.16927997719141533,0.6936806967560827,1.0322405329381414
0.5,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,-0.28720727532162504,-0.3024905495392513,-0.30249054953925136,-1.706084915332595,-1.619885317892939,-1.6198853178929387,-4.9458555511184725
1.25,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,0.11474963322769521,0.11250872875473637,0.11250872875473635,4.270166154062589,4.355217638874726,4.355217638874727,12.980601431812042
1.5,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,0.21623740533498442,0.20845584590829025,0.20845584590829036,2.2660279300008983,2.350617694912593,2.350617694912592,6.967263319826084
1.75,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,0.3070448795472838,0.2916655014591452,0.2916655014591451,1.5958579108124866,1.6800067116221362,1.6800067116221369,4.955871334056759
2,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,0.3890194714829096,0.3647699800086102,0.3647699800086103,1.2595770544136544,1.3433122977620957,1.3433122977620955,3.9462016499378456
3,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,0.6521455822329192,0.5877251854512809,0.5877251854512808,0.7513659731041349,0.8337229918499351,0.8337229918499354,2.4188119568040056
5,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,0.9941479655580575,0.8545187874086733,0.8545187874086734,0.4928843763462737,0.5734221496591363,0.5734221496591363,1.6397286756645462
8,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,1.2903774038661562,1.0683159970414604,1.06831599704146,0.37973386586892294,0.4586657892954714,0.4586657892954716,1.297065444459866
10,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,1.4176430126862998,1.1561306656459973,1.156130665645997,0.3456441400374105,0.4238275262132317,0.4238275262132318,1.193299192463874
12.5,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,1.53414054676641,1.2349736471303832,1.2349736471303836,0.3193970728645424,0.39676960001420003,0.39676960001419986,1.1129362728929422
15,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,1.6209904195840084,1.2930609229531111,1.2930589735450628,0.30228432819840334,0.3789457954393447,0.378946366735781,1.0601764903735291
17.5,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,1.6902477917576118,1.337430893576397,1.3374347952137244,0.2898983228313946,0.36637407013210294,0.3663730013257933,1.0226453942892908
