er,sx,sy,sz,u (sy/sx),v (sz/sx),d,Pxx,Pyy,Pzz,Nx,Ny,Nz,N_sum
17.5,1.0,1.0,0.2,1.0,0.2,0.02,27.990493208555876,27.990493203365407,7.111746438132411,0.0357264158423021,0.03572641584892709,0.14061243728236833,0.2120652689735975
20,1.0,1.0,0.2,1.0,0.2,0.02,29.53688660785313,29.536865983542704,7.207927254400937,0.03385597179812867,0.03385599543828306,0.13873613935121654,0.20644810658762827
0.5,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,-1.1961985644382556,-1.2598523512671862,-1.2598523512671864,-0.8359816085129713,-0.79374380576754,-0.7937438057675399,-2.423469220048051
1.25,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,0.4779243366417961,0.4685911235099392,0.4685911235099391,2.092381415490668,2.1340566430486154,2.134056643048616,6.3604947015879
1.5,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,0.9006139330903143,0.8682042728375272,0.8682042728375277,1.11035368570044,1.1518026705071707,1.15180267050717,3.413959026714781
1.75,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,1.2788208227708617,1.2147667699256364,1.214766769925636,0.7819703762981183,0.8232032886948466,0.8232032886948469,2.428376953687812
2,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,1.6202393647768,1.5192418992445245,1.5192418992445247,0.6171927566626906,0.6582230259034269,0.6582230259034267,1.9336388084695442
3,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,2.7161415336648034,2.447835008126952,2.4478350081269515,0.3681693268210261,0.40852426600646813,0.4085242660064682,1.1852178588339624
5,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,4.140557957343014,3.559012025858699,3.5590120258586992,0.2415133444096741,0.28097685333297673,0.2809768533329767,0.8034670510756274
8,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,5.374333210604567,4.449462711542943,4.4494627115429415,0.18606959427577222,0.22474623675478098,0.22474623675478106,0.6355620677853342
10,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,5.904385725473969,4.81520477153685,4.815204771536849,0.16936562861833115,0.2076754878444835,0.20767548784448353,0.5847166043072982
12.5,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,6.38958994904794,5.143580371221922,5.1435803712219235,0.15650456570362575,0.194417104006958,0.19441710400695794,0.5453387737175417
15,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,6.751313700891332,5.385509883186637,5.385501764036081,0.14811932081721763,0.1856834397652789,0.18568371970053268,0.5194864802830292
17.5,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,7.0397658965331615,5.570307761667627,5.57032401171897,0.14205017818738333,0.1795232943647304,0.1795227706496387,0.5010962432017525
20,1.0,0.7,0.7,0.7,0.7,0.06999999999999999,7.261576177867083,5.718437514034803,5.718455246641108,0.13771114913700822,0.17487294344752263,0.17487240117641517,0.487456493760946
0.5,1.0,0.7,0.5,0.7,0.5,0.05,-1.623529067009217,-1.7235021680591394,-1.867305112730884,-0.6159421597804524,-0.5802139495572056,-0.5355311208555128,-1.7316872301931707
1.25,1.0,0.7,0.5,0.7,0.5,0.05,0.677348704622061,0.6615503032210042,0.6426685288852985,1.4763444488433297,1.5116008489923252,1.556012088742682,4.543957386578336
1.5,1.0,0.7,0.5,0.7,0.5,0.05,1.2905346003939973,1.2345834232260462,1.170633738230476,0.7748726765595454,0.8099898161494308,0.8542381509622258,2.439100643671202
1.75,1.0,0.7,0.5,0.7,0.5,0.05,1.850675700834491,1.7381251063092225,1.6144139430454052,0.5403431835999621,0.5753325789784054,0.6194198237123842,1.7350955862907518
2,1.0,0.7,0.5,0.7,0.5,0.05,2.3658410875034797,2.185529156249951,1.994063799715982,0.4226826583078899,0.4575550946736643,0.5014884679930661,1.3817262209746204
3,1.0,0.7,0.5,0.7,0.5,0.05,4.08256247789015,3.5786221686360213,3.0974085678560983,0.2449441999762844,0.27943715566406,0.322850530723546,0.8472318863638904
5,1.0,0.7,0.5,0.7,0.5,0.05,6.466468455989929,5.300877693026158,4.32180862166046,0.15464391526934518,0.18864800470978635,0.23138460944061776,0.5746765294197493
8,1.0,0.7,0.5,0.7,0.5,0.05,8.683098633248443,6.722287364342497,5.237177540273141,0.11516626059859565,0.14875888902107495,0.1909425434425593,0.4548676930622299
10,1.0,0.7,0.5,0.7,0.5,0.05,9.682885457487142,7.315510645193567,5.597336892367884,0.10327500045213954,0.13669585740498094,0.1786563894990002,0.41862724735612067
12.5,1.0,0.7,0.5,0.7,0.5,0.05,10.62689079941776,7.8510585964456086,5.9122219279782895,0.09410090108903625,0.12737135861560472,0.16914114730161262,0.3906134070062536
15,1.0,0.7,0.5,0.7,0.5,0.05,11.354730200727404,8.247862083713235,6.138939769116353,0.08806902342214509,0.12124354042906041,0.16289457750192934,0.3722071413531348
17.5,1.0,0.7,0.5,0.7,0.5,0.05,11.932543913952243,8.55310057997295,6.311353282629336,0.08380442655071567,0.1169166655588613,0.15844462434899473,0.35916571645857165
20,1.0,0.7,0.5,0.7,0.5,0.05,12.406311466009656,8.80665495468947,6.44673614516587,0.0806041346567642,0.1135504916617073,0.15511725274344554,0.34927187906191703
0.5,1.0,0.7,0.3,0.7,0.3,0.03,-2.632343046216414,-2.7663717407276276,-3.3488744653105225,-0.37988969615390566,-0.36148431726568103,-0.29860778908213736,-1.0399818025017242
1.25,1.0,0.7,0.3,0.7,0.3,0.03,1.1415209977912257,1.1184998917402933,1.0455060803074716,0.8760241834665675,0.8940546238623973,0.9564745904738413,2.7265533978028063
1.5,1.0,0.7,0.3,0.7,0.3,0.03,2.1964176876013104,2.1130800694632,1.867641257012201,0.4552868089002196,0.473242833743653,0.5354347341843215,1.4639643768281942
1.75,1.0,0.7,0.3,0.7,0.3,0.03,3.177857857451953,3.006875092393141,2.5345867813561984,0.31467738484748115,0.3325711808015644,0.3945416299634149,1.0417901956124604
2,1.0,0.7,0.3,0.7,0.3,0.03,4.095525896826356,3.8166571425311555,3.0886054865575967,0.24416888702252015,0.26200938744443086,0.3237707128191854,0.8299489872861363
3,1.0,0.7,0.3,0.7,0.3,0.03,7.258809673373753,6.433079160932618,4.61868998812182,0.13776363412146328,0.15544655599341758,0.21651160882669412,0.509721798941575
5,1.0,0.7,0.3,0.7,0.3,0.03,11.92990265657658,9.869698133461958,6.192263764563332,0.08382298068867573,0.1013202213966025,0.1614918288401622,0.34663503092544046
8,1.0,0.7,0.3,0.7,0.3,0.03,16.58225604556937,12.877872667332936,7.294348694265259,0.06030542510331042,0.07765257708570777,0.13709243167744223,0.27505043386646044
10,1.0,0.7,0.3,0.7,0.3,0.03,18.783207237892086,14.179235154413135,7.712444678842927,0.0532390441810524,0.07052566581412262,0.12966057348109583,0.25342528347627086
