er,sx,sy,sz,smin,nd,Pxx,Pyy,Pzz,Nx,Ny,Nz,N_sum
10,1.0,0.2,0.2,0.2,95,-30.759346360750634,4.09427150903565,4.094271509035647,-0.03251044376144528,0.244243694584763,0.24424369458476314,0.45597694540808087
10,1.0,1.0,0.2,0.2,100,4.158340448847429,4.15834044884743,1.3160718239168718,0.24048055042659405,0.240480550426594,0.7598369494939995,1.2407980503471876
10,1.0,0.7,0.2,0.2,100,4.390437545256397,3.5262921505220466,1.3923428305855416,0.2277677315055853,0.28358399058114225,0.718213918320286,1.2295656404070137
10,1.0,0.5,0.2,0.2,100,4.704708061991316,3.030800340234941,1.4991029287718411,0.21255303981109078,0.32994585183479364,0.6670656035735069,1.2095644952193911
10,1.0,0.3,0.2,0.2,100,5.676843199682477,2.5746089001037413,1.8232158644686933,0.17615424009878114,0.3884085073891052,0.5484814055692806,1.1130441530571669
10,1.0,0.2,0.2,0.2,100,-39.99679216279132,4.014200882559572,4.014200882559577,-0.025002005059053,0.24911558470944553,0.2491155847094452,0.47322916435983775
20,1.0,1.0,0.2,0.2,70,5.545497814819571,5.545497814819571,1.436344175788411,0.18032646182415565,0.18032646182415565,0.6962119642745784,1.0568648879228897
20,1.0,0.7,0.2,0.2,70,5.975177691323796,4.5076315635713815,1.5304771197527771,0.16735903962354812,0.22184599293374885,0.6533910158431726,1.0425960484004695
20,1.0,0.5,0.2,0.2,70,6.644320853675861,3.7811865682957704,1.6700522932610646,0.15050447171688985,0.26446724644182606,0.5987836452997096,1.0137553634584255
20,1.0,0.3,0.2,0.2,70,10.536586901997595,3.405291197286246,2.222395779289747,0.09490739357072199,0.2936606422372697,0.4499648574384842,0.8385328932464758
20,1.0,0.2,0.2,0.2,70,2.2319540663802617,-0.5233460806976821,-0.5233460806976816,0.4480378942662471,-1.910781482622134,-1.9107814826221357,-3.3735250709780225
20,1.0,1.0,0.2,0.2,85,5.5704352791038545,5.5704352791038545,1.437350196126822,0.17951918474867826,0.17951918474867826,0.6957246763486488,1.0547630458460053
20,1.0,0.7,0.2,0.2,85,6.004606420999327,4.51137658875054,1.5309268396947373,0.1665388086890753,0.2216618321098655,0.6531990778863066,1.0413997186852475
20,1.0,0.5,0.2,0.2,85,6.660553246115827,3.766174356487622,1.6675628058788539,0.15013767821511834,0.26552142979716203,0.5996775632525403,1.0153366712648206
20,1.0,0.3,0.2,0.2,85,10.141175089165522,3.3247650883858957,2.18665580538263,0.09860790206337776,0.30077312935377315,0.4573193446990693,0.8567003761162202
20,1.0,0.2,0.2,0.2,85,2.57474991696539,-0.15700015332339257,-0.15700015332339196,0.38838723458572,-6.369420531330162,-6.369420531330187,-12.35045382807463
20,1.0,1.0,0.2,0.2,95,5.584043610913714,5.584043610913714,1.437931808083314,0.17908169593187875,0.17908169593187875,0.69544327093852,1.0536066628022775
20,1.0,0.7,0.2,0.2,95,6.02073556985911,4.5132848016226825,1.531189397628959,0.16609266233285191,0.22156811368085286,0.6530870717551311,1.0407478477688359
20,1.0,0.5,0.2,0.2,95,6.6692272628644975,3.75765432607992,1.6661655024266693,0.14994240870575617,0.2661234677866778,0.600180473394486,1.01624634988692
20,1.0,0.3,0.2,0.2,95,9.930963294705704,3.279371257310156,2.1663800378871922,0.10069516625170793,0.3049365020111299,0.4615995266348886,0.8672311948977265
20,1.0,0.2,0.2,0.2,95,2.7874870303925707,0.04050920770535722,0.040509207705358874,0.3587460637831799,24.685745701902558,24.68574570190155,49.73023746758729
20,1.0,1.0,0.2,0.2,100,5.59101405450301,5.59101405450301,1.4382385337406347,0.1788584307339737,0.1788584307339737,0.6952949573664637,1.053011818834411
20,1.0,0.7,0.2,0.2,100,6.029016120377857,4.514224156651716,1.5313284294772969,0.1658645424118267,0.22152200805679942,0.6530277768965209,1.0404143273651472
20,1.0,0.5,0.2,0.2,100,6.67361754845226,3.753198218710101,1.665438668704431,0.1498437680522941,0.26643943157995,0.6004424052300374,1.0167256048622815
20,1.0,0.3,0.2,0.2,100,9.824762780558316,3.2557127071937764,2.155775999751962,0.10178362799546113,0.30715240868471416,0.4638700867414135,0.8728061234215888
20,1.0,0.2,0.2,0.2,100,2.9047459529773145,0.1410591517567527,0.14105915175675476,0.3442641856424715,7.089224538400987,7.089224538400884,14.522713262444341
100,1.0,1.0,0.2,0.2,70,7.4119140387104405,7.4119140387104405,1.5424853639395397,0.13491791658366084,0.13491791658366084,0.6483043686365874,0.9181402018039091
100,1.0,0.7,0.2,0.2,70,8.224626418655637,5.678460329001604,1.653510663197186,0.12158606957900658,0.1761040743549267,0.6047738440745374,0.9024639880084706
100,1.0,0.5,0.2,0.2,70,9.653060891756246,4.604243441143798,1.8236476533323887,0.10359408390907429,0.21719094847677675,0.5483515404813422,0.8691365728671931
100,1.0,0.3,0.2,0.2,70,46.0761757486001,4.57958594640362,2.71848109310141,0.021703190070638236,0.21836035215919614,0.3678524756113491,0.6079160178411834
100,1.0,0.2,0.2,0.2,70,4.836843888416644,1.0173730708630193,1.0173730708630198,0.20674638732807088,0.982923598667417,0.9829235986674166,2.1725935846629043
100,1.0,1.0,0.2,0.2,85,7.45712559140628,7.45712559140628,1.5439681298973973,0.1340999273436426,0.1340999273436426,0.6476817627488554,0.9158816174361406
