er,sx,sy,sz,smin,Pxx_inf,Pyy_inf,Pzz_inf,Nx_inf,Ny_inf,Nz_inf,N_sum_inf
1.5,1.0,1.0,0.3,0.3,0.45689344953598277,0.45689344953598277,0.3844235960889627,2.1886941058480742,2.1886941058480742,2.601297137256324,6.978685348952473
1.5,1.0,0.7,0.3,0.3,0.46047227163310717,0.44519619351132644,0.39099117019155605,2.1716834250483927,2.2462006966251353,2.557602514425264,6.9754866360987915
1.5,1.0,0.5,0.3,0.3,0.4642867288863211,0.4329396595535711,0.3988042122789009,2.1538414470701923,2.3097907016214623,2.50749608256559,6.971128231257245
1.5,1.0,0.3,0.3,0.3,0.47034308685809395,0.41339855216695987,0.41339855216695987,2.126107575387214,2.41897315498127,2.41897315498127,6.964053885349754
3.0,1.0,1.0,0.3,0.3,1.4772681447314153,1.4772681447314153,0.9223891061740397,0.6769251767639055,0.6769251767639055,1.0841411648364767,2.4379915183642877
3.0,1.0,0.7,0.3,0.3,1.5160153955848292,1.3648725281386798,0.961715384550943,0.6596239081162053,0.7326691536269192,1.039808675273437,2.4321017370165614
3.0,1.0,0.5,0.3,0.3,1.5593893992384171,1.260093183963277,1.0114894063013689,0.6412766435942077,0.7935921031290517,0.9886411007077363,2.4235098474309957
3.0,1.0,0.3,0.3,0.3,1.6328993842580004,1.1148077324395504,1.1148077324395502,0.6124076043144607,0.8970156654831278,0.8970156654831279,2.4064389352807165
6.0,1.0,1.0,0.3,0.3,2.7127944103783284,2.7127944103783284,1.2986173346586547,0.3686235846602689,0.3686235846602689,0.7700497854996313,1.5072969548201691
6.0,1.0,0.7,0.3,0.3,2.8487685836131527,2.364960560205249,1.3791397165831278,0.351028864103689,0.42284003244147655,0.7250896975670738,1.4989585941122394
6.0,1.0,0.5,0.3,0.3,3.012712906205839,2.079559753601325,1.4868218629079537,0.3319267487918003,0.4808710104473926,0.672575528344856,1.4853732875840489
6.0,1.0,0.3,0.3,0.3,3.332842267368834,1.7377477637271328,1.7377477637271328,0.3000442024487004,0.575457509354058,0.575457509354058,1.4509592211568165
0.7,1.0,1.0,0.5,0.5,-0.32570750062092624,-0.32570750062092624,-0.3535562755765739,-3.070239396064284,-3.070239396064284,-2.8284040450681185,-8.968882837196686
0.7,1.0,0.7,0.5,0.5,-0.32302485696538724,-0.33340453486551447,-0.3479015840944271,-3.095736994961821,-2.9993593230619084,-2.874376104388708,-8.969472422412437
0.7,1.0,0.5,0.5,0.5,-0.3203391011190781,-0.34204624094224995,-0.3420462409441355,-3.1216919711224227,-2.923581318260524,-2.9235813182444077,-8.968854607627355
1.5,1.0,1.0,0.5,0.5,0.44549015404967585,0.44549015404967585,0.4024739176697473,2.244718521631999,2.244718521631999,2.4846330559501166,6.974070099214115
1.5,1.0,0.7,0.5,0.5,0.4506164081755894,0.43202955237031876,0.41006490341183044,2.219182395174423,2.314656473182277,2.4386383513433594,6.972477219700059
1.5,1.0,0.5,0.5,0.5,0.4559086286245679,0.41843503277009203,0.4184350328355071,2.193421964872442,2.3898572578397066,2.389857257466094,6.973136480178242
3.0,1.0,1.0,0.5,0.5,1.3684138368914596,1.3684138368914593,1.0345067367335397,0.7307730841655604,0.7307730841655605,0.9666442609716638,2.4281904293027847
3.0,1.0,0.7,0.5,0.5,1.4178338331781932,1.251421391370991,1.0861872410734301,0.7053012677504079,0.799091342768604,0.9206515803037282,2.42504419082274
3.0,1.0,0.5,0.5,0.5,1.4712172403497237,1.1449053811576964,1.1449004159156857,0.6797092724132906,0.8734346230330648,0.8734384109732417,2.426582306419597
6.0,1.0,1.0,0.5,0.5,2.376868300488088,2.376868300488088,1.532846415019136,0.42072166968386543,0.42072166968386543,0.6523810801929011,1.493824419560632
6.0,1.0,0.7,0.5,0.5,2.5295156554752025,2.054368223121528,1.649512831518668,0.39533259967593953,0.4867676537950636,0.6062396005003025,1.4883398539713055
6.0,1.0,0.5,0.5,0.5,2.7046067765267585,1.7848129591003916,1.7848298414830501,0.3697395158065065,0.5602827987667879,0.5602774991531295,1.4902998137264238
0.7,1.0,1.0,0.7,0.7,-0.330012794478145,-0.3300127944781451,-0.3438112920332786,-3.0301855465371195,-3.030185546537119,-2.9085722987341756,-8.968943391808413
0.7,1.0,0.7,0.7,0.7,-0.32655510572423335,-0.3385865724883653,-0.3385865724958863,-3.0622702951840295,-2.9534543932168558,-2.9534543931512514,-8.969179081552136
1.5,1.0,1.0,0.7,0.7,0.4378610165736975,0.4378610165736975,0.41587678748746826,2.2838297134216043,2.2838297134216043,2.4045583453732275,6.972217772216436
1.5,1.0,0.7,0.7,0.7,0.4440739490275709,0.4237468575383137,0.4237468575375843,2.25187719790767,2.3598995065340005,2.359899506538063,6.971676210979734
3.0,1.0,1.0,0.7,0.7,1.3009467786797706,1.3009467786797706,1.1269582602944406,0.7686709528692803,0.7686709528692803,0.8873443101066847,2.424686215845245
3.0,1.0,0.7,0.7,0.7,1.3565735556466267,1.186124116330591,1.1861241163305911,0.7371513294193165,0.8430820908469622,0.8430820908469621,2.4233155111132407
6.0,1.0,1.0,0.7,0.7,2.1857671515556154,2.1857671515556154,1.7423687483785406,0.45750527419551423,0.45750527419551423,0.5739313224772921,1.4889418708683206
6.0,1.0,0.7,0.7,0.7,2.3448253595384974,1.8860059594282708,1.8860059594282708,0.4264709932158093,0.5302210181261267,0.5302210181261267,1.4869130294680626
0.7,1.0,1.0,1.0,1.0,-0.33448350775279806,-0.33448350775279806,-0.33448350775279806,-2.9896840257339554,-2.9896840257339554,-2.9896840257339554,-8.969052077201866
1.5,1.0,1.0,1.0,1.0,0.4302731626890652,0.4302731626890651,0.4302731626890652,2.3241049796141833,2.3241049796141837,2.3241049796141833,6.972314938842551
3.0,1.0,1.0,1.0,1.0,1.2372344105882584,1.2372344105882584,1.2372344105882584,0.808254273759277,0.808254273759277,0.808254273759277,2.424762821277831
6.0,1.0,1.0,1.0,1.0,2.0148759691888216,2.014875969188821,2.0148759691888216,0.496308465281163,0.4963084652811631,0.496308465281163,1.4889253958434892
