er,sx,sy,sz,smin,nd,Pxx,Pyy,Pzz,Nx,Ny,Nz,N_sum
0.7,1.0,0.5,0.2,0.2,95,-0.31334122573055156,-0.32628891684397426,-0.36825251617359184,-3.1914089748915457,-3.0647685176453074,-2.715527949111437,-8.97170544164829
0.7,1.0,0.3,0.2,0.2,95,-0.3114499206310963,-0.3372757732617875,-0.3571113509783771,-3.21078906674204,-2.9649327917301007,-2.8002470301218443,-8.975968888593986
0.7,1.0,0.2,0.2,0.2,95,-0.3100177120695732,-0.34759734465405817,-0.34759734465405817,-3.225622153406458,-2.876891942299609,-2.876891942299609,-8.979406038005676
0.7,1.0,1.0,0.2,0.2,100,-0.31561553561006406,-0.3156155356100641,-0.37986635865534646,-3.1684118402697314,-3.168411840269731,-2.632504767044407,-8.96932844758387
0.7,1.0,0.7,0.2,0.2,100,-0.3144874337728427,-0.3204860129244845,-0.3744859543983227,-3.1797772903139574,-3.1202609776159815,-2.6703271197625424,-8.970365387692482
0.7,1.0,0.5,0.2,0.2,100,-0.3132887302816995,-0.32629099114559507,-0.3682763190966,-3.191943735418861,-3.0647490342563204,-2.7153524355110568,-8.972045205186237
0.7,1.0,0.3,0.2,0.2,100,-0.3113839750654298,-0.3373080334009051,-0.35715505836373096,-3.2114690545326687,-2.96464922556842,-2.7999043456962274,-8.976022625797317
0.7,1.0,0.2,0.2,0.2,100,-0.30993690564146165,-0.34765581038493865,-0.34765581038493865,-3.226463134263884,-2.8764081316309924,-2.8764081316309924,-8.979279397525868
1.5,1.0,1.0,0.2,0.2,70,0.46464534035715155,0.46464534035715155,0.3726495009472931,2.1521791205984027,2.1521791205984027,2.6834867548673795,6.987844996064185
1.5,1.0,0.7,0.2,0.2,70,0.4670305693192535,0.4551574053377003,0.3781382105322021,2.141187463290906,2.197042140307611,2.644535707175883,6.9827653107744005
1.5,1.0,0.5,0.2,0.2,70,0.469751068781697,0.4447092182822222,0.38496277440024684,2.128787067144962,2.248660380512684,2.5976537642060356,6.975101211863682
1.5,1.0,0.3,0.2,0.2,70,0.4742431132566246,0.42715344521378734,0.39881783388012065,2.1086231345206174,2.3410790927824707,2.50741043917456,6.957112666477649
1.5,1.0,0.2,0.2,0.2,70,0.47771880369851866,0.4126880376897847,0.4126880376897847,2.093281638189577,2.423137839414901,2.423137839414901,6.9395573170193785
1.5,1.0,1.0,0.2,0.2,85,0.46486300546088516,0.46486300546088516,0.37262061663886403,2.1511713951265214,2.1511713951265214,2.683694769817792,6.9860375600708355
1.5,1.0,0.7,0.2,0.2,85,0.4673140524220814,0.4552073674239724,0.37809420013087247,2.1398885713301703,2.1968010000783162,2.6448435327859112,6.981533104194398
1.5,1.0,0.5,0.2,0.2,85,0.4700708278117142,0.4445963357487455,0.38486121920146543,2.1273389898607955,2.249231312974944,2.5983392197188993,6.974909522554639
1.5,1.0,0.3,0.2,0.2,85,0.47460594545219265,0.4267600343112189,0.398506716817491,2.1070111101267917,2.343237228420364,2.509367992555022,6.959616331102177
1.5,1.0,0.2,0.2,0.2,85,0.47812869161134014,0.4120869995185268,0.4120869995185268,2.09148711956587,2.426672040536046,2.426672040536046,6.944831200637962
1.5,1.0,1.0,0.2,0.2,95,0.46497816529928293,0.464978165299283,0.3726064884795773,2.1506386205389894,2.150638620538989,2.683796527753731,6.985073768831709
1.5,1.0,0.7,0.2,0.2,95,0.4674647325079351,0.4552327734656069,0.37807156349546095,2.1391988110739995,2.1966783990246928,2.645001889998018,6.98087910009671
1.5,1.0,0.5,0.2,0.2,95,0.47024098070848536,0.4445344148746579,0.384807339336289,2.1265692294477545,2.2495446168818285,2.5987030333797367,6.974816879709319
1.5,1.0,0.3,0.2,0.2,95,0.47479905143597645,0.4265475332862514,0.39833961646931904,2.1061541655898686,2.3444046019811604,2.5104206527673405,6.9609794203383695
1.5,1.0,0.2,0.2,0.2,95,0.4783467712713519,0.4117631723092067,0.4117631723092067,2.0905336046111405,2.4285804735569374,2.4285804735569374,6.947694551725016
1.5,1.0,1.0,0.2,0.2,100,0.4650360368658191,0.4650360368658191,0.37259969744009447,2.150370983590114,2.150370983590114,2.683845442898614,6.984587410078841
1.5,1.0,0.7,0.2,0.2,100,0.467540652907768,0.4552452447845819,0.37806036028793527,2.1388514427156573,2.1966182216207253,2.6450802703525653,6.980549934688948
1.5,1.0,0.5,0.2,0.2,100,0.470326764571439,0.4445026636170536,0.384780213374967,2.126181360125653,2.2497053040418145,2.5988862348945774,6.974772899062044
1.5,1.0,0.3,0.2,0.2,100,0.4748964122573452,0.42643948966963935,0.398254926902177,2.105722372688936,2.344998585320265,2.5109544978601837,6.9616754558693845
1.5,1.0,0.2,0.2,0.2,100,0.4784567003343884,0.4115987638335519,0.4115987638335519,2.0900532886280208,2.429550542587135,2.429550542587135,6.9491543738022905
3.0,1.0,1.0,0.2,0.2,70,1.558394152116917,1.5583941521169171,0.8559614532956125,0.6416861861561811,0.641686186156181,1.1682769079726805,2.451649280285043
3.0,1.0,0.7,0.2,0.2,70,1.5869509309014427,1.4596835650400177,0.8864409778178192,0.6301392062777679,0.6850799885333947,1.1281066929709553,2.443325887782118
3.0,1.0,0.5,0.2,0.2,70,1.6217116920433152,1.3629270655175145,0.9266219034312003,0.6166324167892171,0.733714976611967,1.0791888215647472,2.4295362149659314
3.0,1.0,0.3,0.2,0.2,70,1.6875551445480994,1.2271978984738388,1.0200358197021226,0.5925732283360637,0.8148644984184007,0.9803577292923168,2.3877954560467813
3.0,1.0,0.2,0.2,0.2,70,1.7529396994424535,1.1384298967698334,1.1384298967698332,0.5704702793359427,0.8784027921590845,0.8784027921590847,2.327275863654112
3.0,1.0,1.0,0.2,0.2,85,1.5604829980988422,1.5604829980988422,0.8559623234365926,0.6408272318367542,0.6408272318367542,1.1682757203437557,2.449930184017264
